Compound Type	Compound Name	Polarity	Mass-to-Charge Ratio (m/z)	Retention Time (min)	MS Level	Internal Standards	Products
Calibration Reference	Sodium Formate-Pos1	+	90.76644		1		
Calibration Reference	Sodium Formate-Pos2	+	158.964068		1		
Calibration Reference	Sodium Formate-Pos3	+	226.951491		1		
Calibration Reference	Sodium Formate-Pos4	+	294.938915		1		
Calibration Reference	Sodium Formate-Pos5	+	362.926338		1		
Calibration Reference	Sodium Formate-Pos6	+	430.913762		1		
Calibration Reference	Sodium Formate-Pos7	+	498.901186		1		
Calibration Reference	Sodium Formate-Pos8	+	566.888609		1		
Calibration Reference	Sodium Formate-Pos9	+	634.876033		1		
Calibration Reference	Sodium Formate-Pos10	+	702.863456		1		
Calibration Reference	Sodium Formate-Pos11	+	770.85088		1		
Calibration Reference	Sodium Formate-Pos12	+	838.838303		1		
Calibration Reference	Sodium Formate-Pos13	+	906.825727		1		
Calibration Reference	Sodium Formate-Pos14	+	974.81315		1		
Endogenous Analyte	1-Methylhistidine	+	340.1404	2.56	1	Arginine-13C6,15N4	
Endogenous Analyte	3-Methylhistidine	+	340.1404	2.47	1	Histidine-13C6,15N3	
Endogenous Analyte	4-Hydroxyproline	+	302.1135	1.57	1	Asparagine-13C4,15N2	Product 1
Product	Product 1	+	171.055	1.57	2		
Endogenous Analyte	Alanine	+	260.103	2.41	1	Alanine-13C3,15N	Product 2
Internal Standard	Alanine-13C3,15N	+	264.1101	2.41	1		Product 2
Product	Product 2	+	171.055	2.41	2		
Endogenous Analyte	alpha-Aminobutyric Acid	+	274.1186	3.01	1	Proline-13C5,15N	Product 3
Product	Product 3	+	171.055	3.01	2		
Endogenous Analyte	Aminoadipic Acid	+	332.1241	1.16	1	Serine-13C3,15N	Product 4
Product	Product 4	+	171.055	1.16	2		
Endogenous Analyte	Arginine	+	345.167	2.55	1	Arginine-13C6,15N4	Product 5; Product 6; Product 7
Internal Standard	Arginine-13C6,15N4	+	355.1752	2.55	1		Product 6
Product	Product 5	+	175.119	2.55	2		
Product	Product 6	+	171.055	2.55	2		
Product	Product 7	+	70.065	2.55	2		
Endogenous Analyte	Asparagine	+	303.1088	1.79	1	Asparagine-13C4,15N2	Product 8
Internal Standard	Asparagine-13C4,15N2	+	309.1163	1.79	1		Product 8
Product	Product 8	+	171.055	1.79	2		
Endogenous Analyte	Aspartic Acid	+	304.0928	0.81	1	Aspartic Acid-13C4,15N	Product 9
Internal Standard	Aspartic Acid-13C4,15N	+	309.1033	0.81	1		Product 9
Product	Product 9	+	171.055	0.81	2		
Endogenous Analyte	beta-Alanine	+	260.103	2.13	1	beta-Alanine-13C3,15N	Product 10
Internal Standard	beta-Alanine-13C3,15N	+	264.1101	2.13	1		Product 10
Product	Product 10	+	171.055	2.13	2		
Endogenous Analyte	beta-Aminoisobutyric Acid	+	274.1186	2.55	1	Proline-13C5,15N	Product 11
Product	Product 11	+	171.055	2.55	2		
Endogenous Analyte	Citrulline	+	346.151	2.15	1	Citrulline-13C5	Product 12
Internal Standard	Citrulline-13C5	+	351.1678	2.15	1		Product 12
Product	Product 12	+	171.055	2.15	2		
Endogenous Analyte	Cysteine-AccQTag	+	292.075	2.88	1	Cysteine-13C3,15N-AccQTag	
Internal Standard	Cysteine-13C3,15N-AccQTag	+	296.0821	2.88	1		
Endogenous Analyte	Cystine	+	291.0672	2.88	1	Cystine-13C6,15N2	
Internal Standard	Cystine-13C6,15N2	+	295.0743	2.88	1		
Endogenous Analyte	Ethanolamine	+	232.1081	3.33	1	Proline-13C5,15N	Product 13
