Compound Type	Compound Name	Polarity	Mass-to-Charge Ratio (m/z)	Retention Time (min)	MS Level	Internal Standards	Products
Calibration Reference	Sodium Formate-Pos1	+	90.76644		1		
Calibration Reference	Sodium Formate-Pos2	+	158.964068		1		
Calibration Reference	Sodium Formate-Pos3	+	226.951491		1		
Calibration Reference	Sodium Formate-Pos4	+	294.938915		1		
Calibration Reference	Sodium Formate-Pos5	+	362.926338		1		
Calibration Reference	Sodium Formate-Pos6	+	430.913762		1		
Calibration Reference	Sodium Formate-Pos7	+	498.901186		1		
Calibration Reference	Sodium Formate-Pos8	+	566.888609		1		
Calibration Reference	Sodium Formate-Pos9	+	634.876033		1		
Calibration Reference	Sodium Formate-Pos10	+	702.863456		1		
Calibration Reference	Sodium Formate-Pos11	+	770.85088		1		
Calibration Reference	Sodium Formate-Pos12	+	838.838303		1		
Calibration Reference	Sodium Formate-Pos13	+	906.825727		1		
Calibration Reference	Sodium Formate-Pos14	+	974.81315		1		
Calibration Reference	Sodium Formate-Pos15	+	1042.800574		1		
Calibration Reference	Sodium Formate-Pos16	+	1110.787998		1		
Calibration Reference	Sodium Formate-Pos17	+	1178.775421		1		
Calibration Reference	Sodium Formate-Pos18	+	1246.762845		1		
Calibration Reference	Sodium Formate-Pos19	+	1314.750268		1		
Calibration Reference	Sodium Formate-Pos20	+	1382.737692		1		
Calibration Reference	Sodium Formate-Pos21	+	1450.725115		1		
Calibration Reference	Sodium Formate-Pos22	+	1518.712539		1		
Calibration Reference	Sodium Formate-Neg1	-	112.985626		1		
Calibration Reference	Sodium Formate-Neg2	-	180.97305		1		
Calibration Reference	Sodium Formate-Neg3	-	248.960474		1		
Calibration Reference	Sodium Formate-Neg4	-	316.947897		1		
Calibration Reference	Sodium Formate-Neg5	-	384.935321		1		
Calibration Reference	Sodium Formate-Neg6	-	452.922744		1		
Calibration Reference	Sodium Formate-Neg7	-	520.910168		1		
Calibration Reference	Sodium Formate-Neg8	-	588.897591		1		
Calibration Reference	Sodium Formate-Neg9	-	656.885015		1		
Calibration Reference	Sodium Formate-Neg10	-	724.872438		1		
Calibration Reference	Sodium Formate-Neg11	-	792.859862		1		
Calibration Reference	Sodium Formate-Neg12	-	860.847285		1		
Calibration Reference	Sodium Formate-Neg13	-	928.834709		1		
Calibration Reference	Sodium Formate-Neg14	-	996.822133		1		
Calibration Reference	Sodium Formate-Neg15	-	1064.809556		1		
Calibration Reference	Sodium Formate-Neg16	-	1132.79698		1		
Calibration Reference	Sodium Formate-Neg17	-	1200.784403		1		
Calibration Reference	Sodium Formate-Neg18	-	1268.771827		1		
Calibration Reference	Sodium Formate-Neg19	-	1336.75925		1		
Calibration Reference	Sodium Formate-Neg20	-	1404.746674		1		
Calibration Reference	Sodium Formate-Neg21	-	1472.734097		1		
