Compound Type	Compound Name	Polarity	Mass-to-Charge Ratio (m/z)	Retention Time (min)	MS Level	Internal Standards	Products
Calibration Reference	Sodium Formate-Pos1	+	90.76644		1		
Calibration Reference	Sodium Formate-Pos2	+	158.964068		1		
Calibration Reference	Sodium Formate-Pos3	+	226.951491		1		
Calibration Reference	Sodium Formate-Pos4	+	294.938915		1		
Calibration Reference	Sodium Formate-Pos5	+	362.926338		1		
Calibration Reference	Sodium Formate-Pos6	+	430.913762		1		
Calibration Reference	Sodium Formate-Pos7	+	498.901186		1		
Calibration Reference	Sodium Formate-Pos8	+	566.888609		1		
Calibration Reference	Sodium Formate-Pos9	+	634.876033		1		
Calibration Reference	Sodium Formate-Pos10	+	702.863456		1		
Calibration Reference	Sodium Formate-Pos11	+	770.85088		1		
Calibration Reference	Sodium Formate-Pos12	+	838.838303		1		
Calibration Reference	Sodium Formate-Pos13	+	906.825727		1		
Calibration Reference	Sodium Formate-Pos14	+	974.81315		1		
Calibration Reference	Sodium Formate-Pos15	+	1042.800574		1		
Calibration Reference	Sodium Formate-Pos16	+	1110.787998		1		
Calibration Reference	Sodium Formate-Pos17	+	1178.775421		1		
Calibration Reference	Sodium Formate-Pos18	+	1246.762845		1		
Calibration Reference	Sodium Formate-Pos19	+	1314.750268		1		
Calibration Reference	Sodium Formate-Pos20	+	1382.737692		1		
Calibration Reference	Sodium Formate-Pos21	+	1450.725115		1		
Calibration Reference	Sodium Formate-Pos22	+	1518.712539		1		
Endogenous Analyte	3-Methyl-L-Histidine	+	170.0924	6.88	1		
Endogenous Analyte	Adenine	+	136.0618	1.72	1		
Internal Standard	Adenine-2-D1	+	137.068	1.72	1		
Endogenous Analyte	Glycoursodeoxycholic Acid	+	450.3214	2.84	1		
Endogenous Analyte	Kynurenic Acid	+	190.0499	2.96	1		
Endogenous Analyte	L-Arginine	+	175.119	7.13	1		
Internal Standard	L-Arginine-13C6	+	181.1391	7.13	1		
Endogenous Analyte	L-Asparagine	+	133.0608	6.25	1		
Endogenous Analyte	L-Cystine	+	241.0311	7.81	1		
Endogenous Analyte	L-Histidine	+	156.0768	6.59	1		
Endogenous Analyte	L-Isoleucine	+	132.1019	4.26	1		
Endogenous Analyte	L-Leucine	+	132.1019	4.04	1		
Endogenous Analyte	L-Phenylalanine	+	166.0863	3.92	1		
Internal Standard	L-Phenylalanine-13C9,15N	+	176.1135	3.92	1		
Endogenous Analyte	L-Valine	+	118.0863	4.88	1		
Endogenous Analyte	Propionyl-L-Carnitine	+	218.1387	4.23	1		
Endogenous Analyte	Taurine	+	126.0219	5.01	1		
Internal Standard	Uracil-2-13C,15N2	+	116.032	1.13	1		
Endogenous Analyte	Uracil-99%	+	113.0346	1.13	1		
Calibration Reference	Sodium Formate-Neg1	-	112.985626		1		
Calibration Reference	Sodium Formate-Neg2	-	180.97305		1		
Calibration Reference	Sodium Formate-Neg3	-	248.960474		1		
Calibration Reference	Sodium Formate-Neg4	-	316.947897		1		
Calibration Reference	Sodium Formate-Neg5	-	384.935321		1		
Calibration Reference	Sodium Formate-Neg6	-	452.922744		1		
Calibration Reference	Sodium Formate-Neg7	-	520.910168		1		
Calibration Reference	Sodium Formate-Neg8	-	588.897591		1		
Calibration Reference	Sodium Formate-Neg9	-	656.885015		1		
Calibration Reference	Sodium Formate-Neg10	-	724.872438		1		
Calibration Reference	Sodium Formate-Neg11	-	792.859862		1		
Calibration Reference	Sodium Formate-Neg12	-	860.847285		1		
Calibration Reference	Sodium Formate-Neg13	-	928.834709		1		
Calibration Reference	Sodium Formate-Neg14	-	996.822133		1		
Calibration Reference	Sodium Formate-Neg15	-	1064.809556		1		
Calibration Reference	Sodium Formate-Neg16	-	1132.79698		1		
Calibration Reference	Sodium Formate-Neg17	-	1200.784403		1		
Calibration Reference	Sodium Formate-Neg18	-	1268.771827		1		
Calibration Reference	Sodium Formate-Neg19	-	1336.75925		1		
Calibration Reference	Sodium Formate-Neg20	-	1404.746674		1		
Calibration Reference	Sodium Formate-Neg21	-	1472.734097		1		
Endogenous Analyte	2-Hydroxyisobutyric Acid-98%	-	103.0401	3.32	1		
Endogenous Analyte	L-Serine	-	104.0353	6.24	1		
Endogenous Analyte	Uracil-99%	-	111.02	1.16	1		
Endogenous Analyte	Creatinine	-	112.0516	2.16	1		
Internal Standard	Uracil-2-13C,15N2	-	114.0174	1.16	1		
Endogenous Analyte	L-Valine	-	116.0717	4.96	1		
Endogenous Analyte	Methylmalonic Acid	-	117.0193	6.14	1		
Endogenous Analyte	L-Threonine	-	118.051	5.84	1		
Endogenous Analyte	Adenine	-	134.0472	1.77	1		
Internal Standard	Adenine-2-D1	-	135.0535	1.77	1		
Endogenous Analyte	L-Glutamine	-	145.0619	6.2	1		
Endogenous Analyte	L-Glutamic Acid	-	146.0459	6.9	1		
Endogenous Analyte	L-Histidine	-	154.0622	6.23	1		
Endogenous Analyte	L-Phenylalanine	-	164.0717	4.01	1		
Endogenous Analyte	L-Arginine	-	173.1044	7.85	1		
Internal Standard	L-Phenylalanine-13C9,15N	-	174.0989	4.01	1		
Internal Standard	L-Arginine-13C6	-	179.1245	7.84	1		
Endogenous Analyte	L-Cystine	-	239.0166	7.52	1		
Endogenous Analyte	Uridine	-	243.0623	2.09	1		
